"Banff, Alberta",51.1781,-115.5720,https://roamtransit.com/
Lethbridge,49.6942,-112.8328,https://www.lethbridge.ca/living-here/getting-around/Transit/Pages/default.aspx
Medicine Hat,50.0333,-110.6667,https://www.medicinehat.ca/en/roads-parking-and-transportation/transit.aspx
"Canmore, Alberta",51.0837,-115.3680,https://roamtransit.com/
"Airdrie, Alberta",51.2917,-114.0140,https://www.airdrie.ca/index.cfm?serviceID=1625
Fort McMurray,56.7264,-111.3803,https://www.rmwb.ca/en/transit/transit.aspx?_mid_=33769
Fort Saskatchewan,53.7128,-113.2131,https://www.fortsask.ca/en/living-here/transit.aspx
"St. John's, Newfoundland and Labrador",47.5675,-52.7072,https://www.metrobus.com/home/
Corner Brook,48.9500,-57.9500,https://www.cornerbrook.com/bus-transit/
Charlottetown,46.2336,-63.1283,https://www.t3transit.ca/
"Regina, Saskatchewan",50.4547,-104.6067,https://www.regina.ca/transportation-roads-parking/transit/
Moose Jaw,50.3933,-105.5519,https://moosejaw.ca/streets-roads/transit/
"Prince Albert, Saskatchewan",53.2000,-105.7500,https://transit.saskatoon.ca/
"Selkirk, Manitoba",50.1436,-96.8839,https://www.myselkirk.ca/community-services/public-transportation/
"Brandon, Manitoba",49.8333,-99.9500,https://brandontransit.ca/
Flin Flon,54.7681,-101.8642,https://www.cityofflinflon.ca/p/bus-schedule
"Thompson, Manitoba",55.7433,-97.8553,https://www.thompson.ca/p/transit
Rouyn-Noranda,48.2333,-79.0167,https://www.ville.rouyn-noranda.qc.ca/citoyens/transports/autobus
Sherbrooke,45.4000,-71.9000,https://www.sts.qc.ca/
Trois-Rivières,46.3500,-72.5500,https://sttr.qc.ca/
Saint-Jean-sur-Richelieu,45.3167,-73.2667,https://sjsr.ca/transport-collectif/
Drummondville,45.8833,-72.4833,https://www.drummondville.ca/mobilite/transport-en-commun/
"Granby, Quebec",45.4000,-72.7333,https://granby.ca/fr/transport-urbain-granby
Moncton,46.0933,-64.7750,https://www.codiactranspo.ca/
Fredericton,45.9500,-66.6667,https://saintjohn.ca/en/transit/routes-stops-and-schedules
"Miramichi, New Brunswick",47.0225,-65.5089,https://www.fredericton.ca/en/transit
Mont-Tremblant,46.1167,-74.6000,https://miramichitransit.ca/route-and-schedules/
"Abbotsford, British Columbia",49.0546,-122.3280,https://www.bctransit.com/central-fraser-valley/home
Chilliwack,49.1577,-121.9509,https://www.bctransit.com/chilliwack/home
Kelowna,49.8801,-119.4436,https://www.bctransit.com/kelowna/home
"Victoria, British Columbia",48.4222,-123.3657,https://www.bctransit.com/victoria/home
Nanaimo,49.1642,-123.9364,https://www.bctransit.com/nanaimo/home
"Courtenay, British Columbia",49.6878,-124.9940,https://www.bctransit.com/comox-valley/home
"New Glasgow, Nova Scotia",45.5926,-62.6455,https://pctransit.ca/
"Sydney, Nova Scotia",46.1378,-60.1829,https://www.cbrm.ns.ca/transit
"Prince George, British Columbia",53.9169,-122.7494,https://www.bctransit.com/prince-george/home
Grande Prairie,55.1667,-118.8000,https://cityofgp.com/roads-transportation/public-transit
"Vernon, British Columbia",50.2670,-119.2720,https://www.bctransit.com/vernon/home
"Duncan, British Columbia",48.7786,-123.7081,https://www.bctransit.com/salt-spring-island/home
Whitehorse,60.7172,-135.0558,https://www.whitehorse.ca/departments/transit
Yellowknife,62.4422,-114.3975,https://www.yellowknife.ca/en/living-here/transit.aspx
Montreal,45.5089,-73.5617,https://www.stm.info/
Longueuil,45.5141,-73.4380,https://www.rtl-longueuil.qc.ca/fr-CA/accueil/
"Saint-Constant, Quebec",45.3667,-73.5667,https://exo.quebec/fr/planifier-trajet/autobus/CITROUS#AccesBus
Châteauguay,45.3833,-73.7500,https://exo.quebec/fr/planifier-trajet/autobus/CITSO#AccesBus
"Saint-Lazare, Quebec",45.4000,-74.1333,https://exo.quebec/fr/planifier-trajet/autobus/CITPI
"Blainville, Quebec",45.6667,-73.8833,https://exo.quebec/fr/planifier-trajet/autobus/CITLA
Saint-Jérôme,45.7833,-74.0000,https://exo.quebec/fr/planifier-trajet/autobus/CITLA
"Sainte-Julie, Quebec",45.5833,-73.3333,https://exo.quebec/fr/planifier-trajet/autobus/OMITSJU
"Varennes, Quebec",45.6825,-73.4408,https://exo.quebec/fr/planifier-trajet/autobus/CITSV
"Beloeil, Quebec",45.5667,-73.2000,https://exo.quebec/fr/planifier-trajet/autobus/CITVR
Mascouche,45.7500,-73.6000,https://exo.quebec/fr/planifier-trajet/autobus/MRCLASSO
L'Assomption,45.8333,-73.4167,https://exo.quebec/fr/planifier-trajet/autobus/MRCLASSO
Quebec City,46.8161,-71.2242,https://www.rtcquebec.ca/
Joliette,46.0167,-73.4500,https://mrcjoliette.qc.ca/transport-mrc-joliette/
Sorel-Tracy,46.0333,-73.1167,https://stcpierredesaurel.ca/
Salaberry-de-Valleyfield,45.2500,-74.1333,https://www.stsv.ca/
"Chambly, Quebec",45.4500,-73.2833,https://exo.quebec/fr/planifier-trajet/autobus/CITCRC
Rimouski,48.4500,-68.5333,https://www.rimouskibus.com/
"Saguenay, Quebec",48.4167,-71.0667,https://sts.saguenay.ca/
Dawson Creek,55.7606,-120.2356,https://www.bctransit.com/dawson-creek/home
